,pcv,user_fei,protocol_equity,valid,cr,eth_usd
13500000,1054603270.0631173,339803777.07910794,714799492.9840094,True,3.103565472780488,4022.52321702
13501350,1047020295.7424997,345661456.91456956,701358838.8279301,True,3.029033971818476,3964.34873201
13502700,1043326850.0388149,350477176.66764665,692849673.3711683,True,2.9768752988677187,3928.73944788
13504051,1046199480.1312099,333362816.1850912,712836663.9461188,True,3.138320860447538,4013.22
13505401,1051150958.361407,307095922.29341966,744055036.0679874,True,3.422875010880373,4151.96
13506752,1055818008.9971356,303497809.5610864,752320199.4360492,True,3.4788323860526127,4188.39494627
13508102,1070355160.2015932,307915197.0207263,762439963.1808667,True,3.4761361912564053,4235.83
13509453,1088564325.677505,296562713.7731604,792001611.9043448,True,3.670604142468643,4368.9911581
13510803,1086026358.3946702,303872488.5844147,782153869.8102554,True,3.57395420511382,4325.37597932
13512154,1082540865.335477,301772847.2295855,780768018.1058915,True,3.58727060858425,4319.01
13513504,1095984469.3520656,291635024.91114724,804349444.4409183,True,3.7580687356944877,4425.83
13514855,1092519298.7870271,294321967.11301655,798197331.6740106,True,3.7119869424068885,4398.31
13516205,1082234781.5085697,297581753.1157098,784653028.3928599,True,3.6367645871343477,4337.9407043
13517556,1077555186.9826026,298026919.9095307,779528267.0730718,True,3.6156303843616078,4313.43757262
13518906,1073800766.011828,293625514.6502792,780175251.3615488,True,3.6570417502401704,4316.16916287
13520257,1089222329.8073094,309146434.79537344,780075895.0119358,True,3.523321659938516,4315.6
13521607,1083821690.6842456,294431008.91293776,789390681.7713077,True,3.6810718228552073,4356.90524431
13522958,1092929499.5514393,304684015.5651026,788245483.9863367,True,3.5870916875122725,4351.59350071
13524308,1081479206.3386257,314358740.3660707,767120465.9725549,True,3.440270835413208,4257.72341472
13525658,1081025674.3554156,320866141.84168464,760159532.513731,True,3.3690861496031377,4225.26227781
13527009,1087284248.683182,322319115.7193623,764965132.9638197,True,3.373316057462324,4254.55
13528359,1092699313.956578,315172652.4665819,777526661.4899962,True,3.4669864450642276,4310.58001324
13529710,1075121341.815429,314134368.16552293,760986973.649906,True,3.4224887524848238,4236.74143031
13531060,1072656924.9974774,292631570.1127809,780025354.8846965,True,3.6655543507628816,4322.63
13532411,1079131468.1002758,305973698.93150353,773157769.1687723,True,3.526876564452209,4290.36889563
13533761,1084306123.6433566,307371136.4637388,776934987.1796178,True,3.527677114117299,4306.60996587
13535112,1089033172.9137266,311971715.09576064,777061457.817966,True,3.490807404060476,4307.59
13536462,1097255848.807615,312288533.5129462,784967315.2946689,True,3.513596341385129,4347.08
13537813,1106019131.8603375,294383224.720681,811635907.1396567,True,3.7570725468808868,4467.08089888
13539163,1108827079.5381258,294099225.86492956,814727853.6731962,True,3.770248208838791,4480.7319626
13540514,1122711585.9420166,284021138.7300402,838690447.2119764,True,3.952915585656971,4590.74209708
13541864,1119475608.984038,286456208.30127794,833019400.6827601,True,3.9080165712681603,4564.85594209
13543215,1124037232.069797,283785862.1201953,840251369.9496017,True,3.960864095455607,4597.18
13544565,1126902547.59725,305508452.4156752,821394095.1815748,True,3.6886133221086297,4511.43
13545916,1141103173.0250943,293077551.35927385,848025621.6658204,True,3.893519540247061,4629.2508722
13547266,1138438194.000304,304461344.88770396,833976849.1126,True,3.739187956422514,4567.22211031
13548616,1135824337.3202438,304665653.6418534,831158683.6783904,True,3.7281010305659548,4554.81612235
13549967,1140119266.772107,311831482.29373294,828287784.4783739,True,3.65620321073983,4542.40994799
13551317,1140538802.6395104,325660776.9865983,814878025.652912,True,3.5022295690415497,4482.77896018
13552668,1148349023.0546472,326512640.782034,821836382.272613,True,3.5170124510469916,4512.58898777
13554018,1149517050.1777103,331392295.4041064,818124754.773604,True,3.4687500769321336,4517.58117484
13555369,1148251386.1005175,324846963.51305044,823404422.5874671,True,3.5347456343220136,4540.58029133
13556719,1139564347.341599,325570976.3793852,813993370.9622138,True,3.500202505808362,4499.3899078
13558070,1137256442.0837588,325593084.26504344,811663357.8187156,True,3.4928765291525505,4488.22616704
13559420,1136107997.1878042,325722504.6824214,810385492.5053829,True,3.4879628544411037,4483.1275759
13560771,1138486484.849047,325683161.23964596,812803323.6094009,True,3.4956872824361946,4494.66074879
13562121,1134598447.9018795,325995223.9575593,808603223.9443204,True,3.48041432671293,4476.26443898
13563472,1128213316.2243836,340333984.4687799,787879331.7556037,True,3.3150180931398543,4385.06
13564822,1140891486.9676998,339296545.4587618,801594941.508938,True,3.362520197266093,4443.7072181
13566173,1151330986.3838203,334016680.9984785,817314305.3853418,True,3.4469266113959884,4513.0248987
13567523,1160317270.3073666,333269239.474371,827048030.8329955,True,3.4816212625485856,4555.10106582
13568874,1152265274.92498,311521456.4205098,840743818.5044701,True,3.698831175755628,4616.97
13570224,1158367654.7624776,324190033.6225002,834177621.1399776,True,3.5731130961025386,4588.03270996
13571574,1162753095.6984096,323848207.22347194,838904888.4749376,True,3.5904262236537567,4608.58
13572925,1180934832.353015,322313355.2930679,858621477.0599471,True,3.663933910772123,4696.00197582
13574275,1182331651.183565,310653970.7327485,871677680.4508164,True,3.8059441132999687,4752.70173339
13575626,1177216344.7372985,311045659.0116375,866170685.7256608,True,3.784705912559461,4728.41600239
13576976,1186252960.1353097,310258431.2603066,875994528.8750031,True,3.8234350483776036,4773.89520112
13578327,1188173491.0628014,309979518.1060197,878193972.9567816,True,3.833070966503085,4781.86
13579677,1188621507.6622844,308489693.89295346,880131813.769331,True,3.8530347405211485,4790.71144184
13581028,1190804673.6000009,310684531.74771696,880120141.852284,True,3.8328418441088075,4790.24102024
13582378,1206017811.2349553,327319973.29552,878697837.9394352,True,3.684522515056254,4783.2190089
13583729,1203283318.512173,324476516.8672943,878806801.6448786,True,3.7083833681692795,4783.02018169
13585079,1203790995.294202,328397653.0554367,875393342.2387656,True,3.665650421353622,4768.07303548
13586430,1188389180.1851301,330690876.103324,857698304.0818061,True,3.593655785694611,4691.44354236
13587780,1193404557.5821457,330154552.6471399,863250004.9350059,True,3.6146845409629216,4714.04
13589131,1207102971.3386025,314185117.61523545,892917853.7233672,True,3.8420119339225756,4842.16
13590481,1201806621.507806,335224915.423082,866581706.0847241,True,3.5850754708701325,4727.63487287
13591832,1184072490.6628952,346165580.27338636,837906910.3895088,True,3.4205379105795752,4605.2926618
13593182,1183008669.4598103,337553196.67144394,845455472.7883663,True,3.5046584690213645,4636.42551857
13594533,1207231986.9265594,345571271.1338693,861660715.79269,True,3.4934385111512793,4706.69
13595883,1198442564.5705376,333897734.448273,864544830.1222645,True,3.5892503629916024,4721.01609408
13597233,1205608858.2640905,334474843.72615206,871134014.5379384,True,3.604482910682427,4749.37102258
13598584,1213321229.5760741,333885555.1097866,879435674.4662874,True,3.633943460588212,4785.24018942
13599934,1212920462.4691179,350026010.49570423,862894451.9734137,True,3.465229514662036,4714.3915445
13601285,1201900157.5727355,359734118.0950324,842166039.4777032,True,3.341079139052429,4625.69811625
13602635,1191875619.7190952,360196065.2105728,831679554.5085225,True,3.3089634641686536,4580.0602151
13603986,1160111639.6886225,356468029.43374914,803643610.2548734,True,3.254461954221994,4659.11709629
13605336,1148969733.4497762,350892839.6707461,798076893.7790302,True,3.2744177240205046,4634.68224338
13606687,1156169858.5220866,358327387.20694864,797842471.3151379,True,3.2265740766679145,4647.35494014
13608037,1149032299.625468,358935527.2721175,790096772.3533504,True,3.201221980888951,4613.16437863
13609388,1156150651.6643088,357029792.4150317,799120859.2492771,True,3.23824699290174,4652.87886174
13610738,1155830312.941764,357040713.13964695,798789599.8021171,True,3.2372507403369766,4651.78971005
13612089,1157675923.6075835,361929683.3308067,795746240.2767769,True,3.198621104943908,4637.70747039
13613439,1157171255.6818044,471845953.3232444,685325302.3585601,True,2.4524344174868205,4596.10685219
13614790,1156699418.7779026,471916033.50101596,684783385.2768865,True,2.4510703952918615,4591.54048303
13616140,1158357851.5701523,485312299.6611881,673045551.9089642,True,2.3868297844065327,4540.23
13617491,1172409376.102257,466871150.1079916,705538225.9942654,True,2.51120544893611,4685.84
13618841,1175836557.536199,466601358.9535987,709235198.5826004,True,2.5200024281393714,4702.21294628
13620191,1180067974.377102,466269351.6803691,713798622.6967328,True,2.530871845049011,4722.89872505
13621542,1160186995.568493,473945690.65886724,686241304.9096256,True,2.4479323653215,4601.56
13622892,1154841614.0467083,474483550.27393687,680358063.7727712,True,2.4338917827182325,4574.82608141
13624243,1115482632.2626297,482733369.4441643,632749262.8184654,True,2.310763462544623,4365.48162972
13625593,1107300429.7433536,487560172.440086,619740257.3032677,True,2.2711051729300644,4307.46312104
13626944,1077455433.2411098,464817335.8448386,612638097.3962713,True,2.3180190370541105,4276.29334901
13628294,1112528978.825146,463062538.7250771,649466440.1000687,True,2.4025458459416877,4261.35
13629645,1101424889.6426346,459262891.5231281,642161998.1195065,True,2.398244904981982,4228.25059004
13630995,1076249338.422662,453495555.68003213,622753782.7426298,True,2.3732301782071255,4143.26709592
13632346,1070805232.8197014,449313509.9568129,621491722.8628886,True,2.3832028396444724,4138.14194872
13633696,1078528077.7346573,444865745.80502343,633662331.9296337,True,2.424390027564308,4192.75618816
13635047,1084974312.6477473,440449791.80231,644524520.8454372,True,2.463332558764663,4240.37101142
13636397,1108382328.0591955,448915963.26345676,659466364.7957386,True,2.4690196356611085,4306.47655056
13637748,1108966747.2589374,459461377.04319793,649505370.2157394,True,2.413623435326695,4263.40702215
13639098,1106594400.9298851,464325763.94446486,642268636.9854202,True,2.3832285151039736,4231.7
13640449,1082276305.554473,486154165.74599975,596122139.8084732,True,2.226199797946251,4032.85188952
13641799,1039015878.7872878,434822725.7773049,604193153.0099828,True,2.3895160422673523,4066.13254601
13643149,1023804052.2152759,427340904.8676787,596463147.3475971,True,2.395754865854195,4033.08715548
13644500,1051716863.1441451,448242409.2342686,603474453.9098766,True,2.346312712669893,4062.21721544
13645850,1045423739.7611648,416425499.1955831,628998240.5655817,True,2.510470040332855,4173.92007035
13647201,1068466518.0465845,418943357.6876718,649523160.3589127,True,2.5503841949993187,4266.59966196
13648551,1092018115.954127,433659740.30192965,658358375.6521974,True,2.518145021241364,4304.45461354
